"senior python developer--вчера","Quantenna Communications","Санкт-Петербург","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24456617"," Hands-on experience of Python libraries like Pandas Hands-on experience of JavaScript development with React / Redux / Webpack Understanding of QA processes Skills in Wi-Fi / Ethernet testing "," Good spoken and written English Strong analytical skills as well as excellent written and verbal communication skills Familiarity with Python 2.7 and 3.x Hands-on experience of Flask web-framework Experience with REST-based APIs consumption and creation Experience handling big volumes of unstructured text data Proficient in regular expressions and data cleanup Experience working with MongoDB Hands-on experience of Linux server and application administration Strong teamwork skills along with the ability to work independently. "
"senior python developer--вчера","Quantenna Communications","Москва","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24456632"," Hands-on experience of Python libraries like Pandas Hands-on experience of JavaScript development with React / Redux / Webpack Understanding of QA processes Skills in Wi-Fi / Ethernet testing "," Good spoken and written English Strong analytical skills as well as excellent written and verbal communication skills Familiarity with Python 2.7 and 3.x Hands-on experience of Flask web-framework Experience with REST-based APIs consumption and creation Experience handling big volumes of unstructured text data Proficient in regular expressions and data cleanup Experience working with MongoDB Hands-on experience of Linux server and application administration Strong teamwork skills along with the ability to work independently. "
"senior python developer--вчера","Quantenna Communications","Нижний Новгород","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24456634"," Hands-on experience of Python libraries like Pandas Hands-on experience of JavaScript development with React / Redux / Webpack Understanding of QA processes Skills in Wi-Fi / Ethernet testing "," Good spoken and written English Strong analytical skills as well as excellent written and verbal communication skills Familiarity with Python 2.7 and 3.x Hands-on experience of Flask web-framework Experience with REST-based APIs consumption and creation Experience handling big volumes of unstructured text data Proficient in regular expressions and data cleanup Experience working with MongoDB Hands-on experience of Linux server and application administration Strong teamwork skills along with the ability to work independently. "
"программист python--сегодня","ООО
    
            

            Смарт Ритейл","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24365024"," Глубокое понимание языка Python (2.7 и 3.х); Стек: Python,Caffe, TensorfFlow, Linux, OpenCV, Git, желательно знать – SQL, MySQL, PostgreSQL; Большой опыт развертывания и настройки серверов (*nix, Ubuntu, Debian); Опыт работы с Docker; Опыт создания REST, RPC API; Знание подходов в обработке изображений; Английский язык на уровне написать письмо, вести переписку. "," планирование разработки; Написание различных обработчиков и преобразователей данных (json, xml, csv и т.д.); Создание и управление очередями для задач на высоконагруженных сервисах; Помощь в разработке ML моделей, создании новых и оптимизации действующих алгоритмов; Участие в разработке архитектуры решения в целом. "
"python developer--сегодня","ООО
    
            

            МСТ","Санкт-Петербург","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23963671"," знания ReactJS опыт работы с HTML/CSS знание особенностей асинхронного программирования ","  отличные знания python 3.x   опыт работы с Flask   знание SQL   готовность выходить за рамки своей специализации  "
"senior python developer--5 февраля","Дестени Продакшн","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24319801"," Действительно интересные проекты и отличный коллектив; Достойную оплату труда по итогам собеседования; Оформление по ТК РФ; Умеренно гибкий график и шаговую доступность от метро; Уютный офис с кучей приятных моментов: чай, кофе, PlayStation, комната отдыха, «капсула сна» для повышения работоспособности, настольный теннис и прочие радости. "," Опыт промышленной разработки на Python от 3-х лет. Мы используем Python 3.6; Опыт работы с Django и Django Rest Framework; Знание принципов работы баз данных и опыт работы с MySQL/PostgreSQL; Способность писать поддерживаемый код, покрывать функциональность тестами; Знание git и отсутствие страха перед консолью *nix; Понимание базовых принципов современного фронтенда: JavaScript (ES7), HTML, CSS, Webpack, ReactJS; Базовые знания базовых принципов из CS - ООП, композиция, шаблоны проектирования, регулярные выражения и др.; Опыт работы с Memcached/Redis; Английский язык на уровне свободного чтения документации и именования классов и полей. "
"python developer (platform)--сегодня","Wargaming, Minsk (Game Stream)","Минск","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/21332574"," опыт работы с Python; опыт написания сервисов с использованием асинхронных библиотек/технологий (Twisted, Tornado, Asyncio); опыт работы с MySQL/PostrgreSQL/NoSQL; опыт работы с Linux; опыт работы с системами кеширования (Redis, Memcache); опыт работы с системами обмена сообщениями (RabbitMQ, Kafka); опыт работы с MVC/MVVM-like фреймворками (Django/Flask); опыт написания sync/async API на базе HTTP/AMQP; опыт работы с сериализацией/десериализацией данных: JSON, protobuf, avro, pickle и подобные; опыт работы с Git или подобными VCS. "," реализация новой и поддержка существующей функциональности в проекте (Python, Erlang/Elixir, Golang); участие в scrum-like процессах: groomings, plannings, retrospectives, demos и т. д.; участие в поддержании CI/CD-подходов при разработке. "
"python developer (wargaming service)--5 февраля","Wargaming, Minsk (Game Stream)","Минск","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23806052"," 3–5 лет разработки ПО в качестве бекенд-программиста; большой рабочий опыт использования одного или более языков программирования: Python, JavaScript, Erlang, Elixir; опыт работы с современными фреймворками разработки сетевого и мобильного ПО; большой опыт работы с PostgreSQL/MySQL, Redis; хорошее знание протоколов HTTP и AMQP. "," разработка и обслуживание Platform; участие в ревью кода; сотрудничество с внешними командами разработки для обеспечения пользователям высочайшего качества сервиса. "
"программист python--5 февраля","Inline Telecom Solutions","Москва","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/22712649"," Хороший опыт и знания работы на Python; Опыт веб-разработки с использованием Django; Навыки работы с SQL; Опыт разработки ПО под Linux; "," Web-разработка; Разработка систем сбора и анализа данных для веб-маркетинга, систем анализа сетевой активности, учета ресурсов; Поддержка и развитие проектов для сетей крупных операторов связи. "
"разработчик python--5 февраля","ЗАО
    
            

            FPI","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/22844115"," Понимание основных принципов создания и поддержания качественного кода; Опыт коммерческой разработки на Python; Хорошее знание Linux; Опыт разработки под железо - приветствуется, но не обязателен. "," Разрабатывать код на Python для устройства на Raspbian Linux; Проектировать интеграционные тесты; Придумывать, как связать наше решение с популярными IOT платформами; "
